x3,x4,x5,x6,x7,x8,x9,x11,x14,x15,x16,x18,worry,emotion
3,2,1,1,2,3,2,2,2,3,3,2,11,15
1,1,2,2,1,1,1,1,1,1,1,2,8,7
1,2,1,1,1,2,2,2,1,1,2,1,7,10
2,2,2,2,2,2,2,3,1,2,2,2,11,13
3,4,4,4,4,3,3,3,4,3,3,4,23,19
1,4,2,3,3,1,1,1,4,1,1,3,17,8
2,3,2,2,1,2,2,2,2,2,2,2,12,12
4,3,3,3,3,4,3,3,2,3,4,2,18,19
3,3,1,1,2,2,2,2,1,1,1,1,11,9
3,1,2,3,3,1,2,2,4,2,3,3,16,13
2,2,3,1,4,2,1,2,2,3,2,2,14,12
4,3,2,4,1,3,2,3,3,2,1,3,17,14
2,1,2,3,2,2,2,2,1,2,2,2,11,12
2,2,1,4,2,2,1,1,1,1,2,1,12,8
3,3,4,4,3,3,2,3,4,4,3,3,21,18
3,3,4,2,3,3,3,3,4,4,4,4,19,21
2,1,2,2,1,1,1,1,1,2,1,1,9,7
2,2,1,2,2,3,2,2,2,3,3,3,11,16
1,1,1,1,1,2,2,2,1,1,2,2,6,11
4,1,1,2,4,4,3,2,1,2,2,1,13,14
2,1,1,2,2,2,2,2,2,2,2,2,10,12
1,1,1,3,2,2,2,2,2,1,1,1,10,9
2,2,2,2,3,3,3,2,2,2,3,3,13,16
2,1,1,1,2,2,2,2,2,2,2,3,9,13
3,3,2,3,3,3,2,3,3,3,1,1,17,13
1,2,1,1,2,2,1,2,1,1,2,1,8,9
1,2,2,1,1,2,2,1,1,1,2,1,8,9
3,2,1,2,2,3,3,3,2,3,3,2,12,17
3,2,1,1,3,3,2,3,2,4,4,1,12,17
2,1,1,2,1,2,2,2,2,2,2,1,9,11
2,1,2,4,2,2,2,4,2,1,3,1,13,13
2,2,2,2,3,4,2,3,2,3,2,3,13,17
1,2,1,2,2,2,2,2,2,3,2,3,10,14
2,1,1,3,1,2,2,3,1,1,2,1,9,11
1,1,1,2,2,3,3,2,2,1,1,1,9,11
3,2,2,3,2,3,2,3,3,2,3,3,15,16
4,1,2,1,2,1,1,1,1,1,1,1,11,6
1,1,2,1,1,2,2,1,2,1,2,1,8,9
2,1,1,1,2,2,1,2,1,1,2,1,8,9
1,1,1,3,1,1,1,2,1,1,1,1,8,7
2,2,3,1,2,1,1,2,2,1,2,2,12,9
1,2,1,1,2,2,1,2,2,3,2,3,9,13
1,1,1,3,1,2,4,2,2,2,4,2,9,16
1,3,2,1,2,3,2,2,2,3,2,1,11,13
1,1,1,2,1,2,2,3,1,2,3,3,7,15
1,1,1,1,2,1,2,2,1,1,1,1,7,8
1,2,1,1,1,2,1,1,1,1,1,2,7,8
2,1,1,1,1,2,1,1,1,1,1,1,7,7
2,2,2,1,2,1,1,2,1,2,2,2,10,10
1,2,1,1,2,4,2,4,1,4,4,2,8,20
1,2,1,1,1,1,1,1,1,1,1,1,7,6
2,4,2,1,1,4,4,2,2,3,4,3,12,20
2,1,2,1,2,3,3,2,1,2,3,1,9,14
4,4,4,2,1,4,4,2,2,4,2,4,17,20
1,3,3,2,4,2,2,3,2,2,3,2,15,14
1,2,2,2,1,2,2,2,2,2,1,2,10,11
2,2,1,2,1,2,1,1,2,1,1,1,10,7
2,1,1,2,1,2,1,2,2,1,2,1,9,9
1,2,1,1,1,1,3,3,3,2,2,1,9,12
1,1,2,2,1,1,1,1,2,1,1,1,9,6
1,1,1,1,1,1,1,1,1,1,1,1,6,6
1,1,2,1,1,2,1,1,1,1,1,1,7,7
1,1,1,1,4,1,1,2,1,1,1,1,9,7
2,2,2,2,2,2,2,2,2,2,2,2,12,12
2,1,1,1,1,1,1,1,1,1,1,2,7,7
1,1,1,1,2,2,3,3,1,2,2,1,7,13
1,1,1,1,1,1,1,1,1,1,3,2,6,9
4,1,2,1,2,2,1,2,2,2,3,2,12,12
1,1,1,1,1,1,2,1,1,1,1,2,6,8
2,3,2,4,2,2,2,2,1,2,2,2,14,12
2,2,2,2,2,2,2,2,2,2,2,2,12,12
2,1,2,2,2,2,1,1,1,1,2,1,10,8
